name;price;description;cycle;lighting;form;watering
        Мшанка шиловидная Aurea,  Р9, 5-10см;160;Вечнозеленое, многолетнее растение, напоминающее мох, с золотисто-жёлтыми листьями, декоративно в течение всего вегетативного периода. Цветки мелкие, белые. Цветёт не столь обильно как другие представители этого вида. Зимо­стойко, неприхотливо.;Многолетник ;Солнце,полутень;Почвопокровный многолетник;умеренный полив
        Очиток едкий  ,  Р9 ;130;Многолетнее растение с коротким корневищем, имеющим толстые корни. Первогодки короткие, усыпанные множеством листочков. В начале лета растение покрывается многочисленными цветками золотистого окраса.Цветки очитка собраны в соцветие и располагаются на прямых цветоножках.;Многолетник ;Солнце,полутень;Почвопокровный многолетник;умеренный полив
        Очиток едкий Elegans geel ,  Р9 15см;130;Многолетнее растение до 10 см высотой, образующее почвопокровные дернинки до 20 см в поперечнике. Стебли ветвистые, округлые. Листья мясистые, темно-зеленые, расположены в очередном порядке, голые, продолговатые, до 0,6 см длиной. Они не сбрасываются осенью, а остаются на зиму. Цветки золотисто-желтые до 1,5 см в диаметре, собраны в полузонтиковидные соцветия. Цветет обильно с начала июня 40-50 дней.;Многолетник ;Солнце,полутень;Почвопокровный многолетник;умеренный полив
        Очиток камчатский ,  Р9 ;160;"Травянистый многолетник в высоту достигает 30 – 40 см и имеет ползучее корневище. Стебли очитка камчатского несильно приподнимаются над землей, листья отличаются продолговатой формой и наличием по краям сглаженных зубцов. Цветки растения окрашены в оранжевый цвет. Листья и стебли этого очитка зимой отмирают, но уже в конце апреля побеги вновь отрастают.
";Многолетник ;Солнце,полутень;Травянистый многолетник;умеренный полив
        Очиток лидийский ,  Р9 ;130;Низенький, мелколистный, вечнозелёный, почвопокровный многолетник суккулентного типа. Побеги тонкие, короткие (до 6 см), усыпанные узкими, голубовато - сизыми листиками, нижние листочки имеют красноватый оттенок. Образует плотный сизо – голубой ковёр, чтобы ограничить его распространение, высаживайте на бедных, супесчаных почвах. Цветёт очиток лидийский в конце июня, небольшими, бело – розовыми цветками на невысоких соцветиях, цветение не очень обильное.;Многолетник ;Солнце,полутень;Почвопокровный многолетник;умеренный полив
        Очиток ложный Fuldaglu ,  Р9 ;130;Многолетник со стелющимися побегами, во время цве­тения высотой - 15 см, окраска листьев коричнево-красная, особенно насыщенная в хорошо освещенных солнцем местах, в тени листья зеленеют. Цветки тёмно-розовые, цветут в июле - августе. ;Многолетник ;Солнце,полутень;Почвопокровный многолетник;умеренный полив
        Тимьян карликовый, Р9, 10см;150;Низкорослый вид до 3 см в высоту,с маленькими, тёмно-зелёными, очень душистыми листьями. Образует плотный покров. Листья густые на тонких сильноветвящихся побегах. Листья мелкие, зеленые, зимуют под снегом. Цветки розовые. Цветет с середины мая до июля. Цветки собраны в соцветия-шишечки, появляются в июне-июле. Лучше растет на сухом, солнечном, не плодородном месте.;Многолетник ;Солнце,полутень;Почвопокровный многолетник;умеренный полив
        Тысячелистник Tommentosa   Р9;150;Высота до 15 см, ширина до 45 см Лимонно-желтые корзинки собраны в щитковидные соцветия до 7 см в диаметре. Листья серо-зеленые, густоопушенные, расположены в очередном порядке, со своеобразным запахом при растирании.;Многолетник ;Солнце,полутень;Почвопокровный многолетник;умеренный полив
        Тысячелистник обыкновенный Paprika,  Р9;150;Растение многолетнее. Стебли прямые 70-80 см высотой, образуют кустик. Листья со своеобразным запахом при растирании. Корзинки до 0,7 см в диаметре собраны в плотные щитковидные соцветия. Листочки обертки продолговатые с бурым, пленчатым краем. 'Paprika' с соцветиями красно-оранжевого цвета. Цветет с июля 40-45 дней. Плодоносит. ;Многолетник ;Солнце,полутень;Кустовой многолетник;умеренный полив
        Тысячелистник Коронейшн Голд,  Р9;150;Многолетнее травянистое растение высотой до 60-80 см. Корневище ползучее, стебли прямые, достигающие высоты 20-100 см. Листья продолговатые, ланцетовидные, двояко перисторассеченные. Соцветия янтарно-желтые, большие и очень плотные.;Многолетник ;Солнце,полутень;Травянистый многолетник;умеренный полив
