name;price;description;height;soil;lighting;area;decorative;landing
        Клематис (сорта) в ассортименте;80;Лиана со стеблями длиной до 4—5 м. Листья перистослож-ные, с 5—7 листочками, реже простые, нежно-зеленые. Цветки круп­ные (5—15 см в диаметре), фиолетово-красные, пурпурные, четырехле- пестковые, реже с 6—8 сегментами. Цветет в летне-осенний период. Облиствление и цветение обиль­ные.;5м;Плодородные;Солнце, полутень;зона 4;0;0
        Клематис Bees Jubilee, С2, 40-60см;750;Лиана длиной до 1,5-2,5 метров. Цветки лилово-розовые, с тёмно-розовой полоской и светло-коричневыми тычинками. Цветение: май, июнь и повторно сентябрь. В местах солнечных цветки блекнут. Умеренно растущий. Цепляется за опоры листовыми черешками. Используется для посадки у всех садовых опор, решёток или среди кустарников. Особенно хорош для использования в полутенистых местах.;2,5м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Bees Jubilee;650;Лиана длиной до 1,5-2,5 метров. Цветки лилово-розовые, с тёмно-розовой полоской и светло-коричневыми тычинками. Цветение: май, июнь и повторно сентябрь. В местах солнечных цветки блекнут. Умеренно растущий. Цепляется за опоры листовыми черешками. Используется для посадки у всех садовых опор, решёток или среди кустарников. Особенно хорош для использования в полутенистых местах.;2,5м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Commtesse de Bouchaud;650;Лиана высотой до 2,5 м. Цветки розовые, диаметром 10-15 см. Удивительно красивый и изысканный клематис. Заслуживает использования в озеленении. Еще в начале прошлого века получил премию Королевского садоводческого общества. Цветет на побегах текущего года очень обильно с июля по сентябрь. Группа обрезки - 3. Устойчивый, жизнеспособный сорт. Хорошо растет в контейнерах.;2,5м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Duchess of Edinburgh;650;Умеренно растущий сорт с махровыми шаровидными цветками на прошлогодних побегах. Цветки на побегах текущего года одиночные. Лучше растёт и цветёт на солнечных местах. Высота растения 2-3 метра. Цветёт с мая по август. Нуждается в слабой обрезке.  Высаживают на южном и западном направлении. Хорошо подходит для посадки у ограждений, беседок, решёток и других садовых опор. Может виться по натуральным опорам, например кустарникам или полукустарникам, не требующих сильной обрезки. Подходит для выращивания в контейнерах.;3м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Ernest Markham;650;Поздно цветёт. Достигает 3 м. Цветки ярко-красные, 13 см в диаметре. Обильно цветёт на полном солнце. Нуждается в сильной обрезке. Высаживается у решёток и других опор.;3м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Girenas;650;Литовский сорт со светло-розовыми цветками диаметром 10-15 см, с розово-красной полоской посередине чашелистиков и размытой по краям. Тычинки с пурпурными пыльниками на белых нитях. Наиболее интенсивно цветет в июне и в начале июля, а менее обильно до начала сентября. Достигает высоты 3 м. За опоры цепляется листовыми черешками.;3м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Hagleu Hybrid;650;Многолетнее вьющееся растение имеет красивые запоминающиеся цветки. Высота взрослого растения достигает около 2-3 м. Светло-розовые цветки в диаметре до 13 см. Прекрасно растет на плодородной, рыхленной, увлажненной почве. Подходит этот сорт клематиса для выращивания в контейнерах. На ярком солнце цветки выгорают. Требуется постоянная и сильная обрезка.;3м;Неприхотлива;Полутень;зона 4;0;0
        Клематис Jan Pawel 11;650;Лиана  2-2,5 метра.  Цветы очень крупные, шелковистые, округлые, до  20см, с 6-8 широкими лепестками, нежные,  кремово- розовато- белые, с розовой полосой , которая исчезает к концу цветения.  тычинки крупные, жёсткие, тёмные.  цветение обильное со второй половины июля до морозов. в условиях северо- запада иногда не хватает тепла для качественного процветания. очень отзывчив на подкормки.;2,5м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Kardinal Wyszynski, С2, 40-60см;750;Устойчивый, умереннорастущий и обильноцветущий польский сорт. Цветки ярко-красные с красно-коричневыми тычинками, распускаются с июня по сентябрь. Идеально подходит для выращивания у ограждений, стен, беседок, пергол, решёток и пр. Может карабкаться по натуральным опорам.;3м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Marcelina, С2, 40-60см;750;Сорт с фиолетовыми, слегка оттененными цветками с широкой, более тёмной полоской посередине лепестка. Цветёт обильно с июня по сентябрь. Годится для закрытия и защиты некрасивых мест или посадки у деревьев.;4м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Maria Sklodowska-Curie;750;Белый клематис с размером цветка 12-15 см. В холодную погоду оттенок лепестков становится зеленоватым, с более интенсивной окраской у основания лепестка. Лепестки эллиптической формы с волнистыми краями. Золотистая серединка и кремовый оттенок середины лепестка добавляют цветку особый шарм. Цветение в июне-июле, высота клематиса – до 2 м. Цветки полностью покрывают растение, начиная с высоты 80 см и до самой верхушки. Предпочитает солнечное хорошо продуваемое место, но не на солнцепеке, и дренированную почву. ;2м;Неприхотлива;Полутень;зона 4;0;0
        Клематис Markham, С2, 40-60см;750;Умеренно растущий сорт, поздно, но обильно цветущий. Цветки искристые, сочно-красные, слегка бархатистые, с кремово-коричневыми тычинками, с июля до октября. Идеально подходит для выращивания у ограждений, стен, беседок, пергол, сеток и решёток. Может карабкаться по естественным опорам, напр. небольшим деревьям, крупным лиственным или хвойным кустарникам. Подходит для выращивания в больших контейнерах. Особенно хорош для выращивания на солнечных местах.;4м;Неприхотлива;Солнце;зона 4;0;0
        Клематис Matka Siedliska, С2, 40-60см;750;Белый сорт цветка цветущий махровыми цветами на ветках прошлогоднего побега (май–июнь) и одиночными цветами с бордового цвета тычинками (июль–август), на побегах текущего года. Цветки в диаметра бывают до 15 сантиметров. Высота – 2–3 метра. Вторая группа обрезки.;3м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Mrs Cholmondeley;650;"Исключительно долго и обильноцветущий сорт. Цветки крупные, светло-лавандово-голубые с лиловым оттенком, временами полумахровые, тычинки светло-коричневые. Слабообрезанный весной (обрезка 2) цветёт почти бесперерывно с мая до заморозков. Если обрезка была сильная (обрезка 3) цветёт июня до заморозков. 
Подходит для выращивания на видных местах, особенно на тёмном фоне или по соседству с жёлтолистными или жёлтоцветущими кустарниками.";3м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Nelly Moser;650;Умереннорастущий сорт, с двуцветными цветками светло-розово-лилового цвета с яркой розовой полоской посередине лепестков и красными тычинками. Высота растения от 2 до 3 метров. Цветёт с мая по сентябрь. Высаживают на южном, восточном и западном направлении. Нуждается в слабой обрезке. Хорошо подходит для посадки у ограждений, беседок, решёток и других садовых опор. Может виться по натуральным опорам, например кустарникам или полукустарникам, не требующих сильной обрезки. Подходит для выращивания в контейнерах.;3м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Niobe;650;Цветы 12-15 см в диаметре, состоят из 6 остроконечных бархатистых чашелистиков со слегка гофрированным краем с пурпурно-жёлтыми тычинками. Наружная сторона дымчато-красно-пурпурная. Эффектно и очень обильно цветёт с конца июня-начала июля до середины сентября. Этот клематис прекрасно подходит для посадки у стен, решеток, беседок, ограждений, способен хорошо развиваться, карабкаясь по естественным опорам, лиственным и хвойным деревьям и кустарникам.;3м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Polish Spirit, С2, 40-60см;750;Устойчивый, сильнорослый, обильноцветущий сорт, с красивыми фиолетово-пурпурными цветками, с тёмно-красными тычинками. Высота растения от 3 до 4 метров. Цветёт с июня до октября. Высаживают на южном, восточном и западном направлении. Нуждается в сильной обрезке.  Хорошо подходит для посадки у ограждений, беседок, решёток и других садовых опор. Может виться по натуральным опорам, например кустарникам или полукустарникам, не требующих сильной обрезки. Подходит для выращивания в контейнерах.;4м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Princess Diana ;750;Этот сорт имеет очень оригинальные тюльпановидные, ярко-розовые цветки со светлыми краями. Осенью и зимой украшен декоративными соплодиями. Высота растения от 2 до 3 метров. Цветёт с июля по октябрь. Высаживают на южном, восточном и западном направлении. Нуждается в сильной обрезке.  Хорошо подходит для посадки у ограждений, беседок, решёток и других садовых опор. Может виться по натуральным опорам, например кустарникам или полукустарникам, не требующих сильной обрезки. Подходит для выращивания в контейнерах.;3м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Purpurea Plena Elegans ;750;Сорт компактный и обильноцветущий. Цветки мелкие, махровые, бордового цвета, 6-7 см в диаметре. Высота растения от 3 до 4 метров. Цветёт с июня по сентябрь. Высаживают на южном, восточном и западном направлении. Нуждается в сильной обрезке.  Хорошо подходит для посадки у ограждений, беседок, решёток и других садовых опор. Может виться по натуральным опорам, например кустарникам или полукустарникам, не требующих сильной обрезки. Подходит для выращивания в контейнерах.;4м;Неприхотлива;Солнце, полутень;зона 4;0;0
        Клематис Rouge Cardinal;650;Среднерастущий сорт, долго и обильноцветущий. Особенно хорош для выращивания у ограждений, стен, беседок, пергол, решёток и пр. Может карабкаться по натуральным опорам, напр. небольшим деревьям и кустарникам. Используется для выращивания в больших контейнерах на балконах и террасах. ;2м;Неприхотлива;Солнце;зона 4;0;0
        Клематис Stasik;650;Яркие цветки диаметром 8-10 см с 6 звездообраздно уложенными пурпурно-красными чашелистиками с более светлой полоской посередине. Тычинки с кремовыми нитками и пурпурно-красными пыльниками. Цветет в июне-августе, а также менее обильно в июле-сентябре. Достигает высоты 1,2-1,8 м. За опоры цепляется листовыми черешками. Используется для выращивания у решеток, колышков и других садовых опор;2м;Неприхотлива;Солнце;зона 4;0;0
        Клематис Teshio;650;Очень оригинальный японский сорт. Распускающиеся цветки имеют трубчато-закрученные лепестки и выглядят как маленькие ёжики. Раскрытые цветки махровые, слегка сплюснутые. Цветки с конца мая до июля. Лучше растёт на солнечных местах. Прекрасно подходит для выращивания в небольших садах и контейнерах.;2м;Неприхотлива;Солнце;зона 4;0;0
        Клематис The President;650;Устойчивый, низкий, обильноцветущий сорт. Цветки крупные, фиолетово-синие, с тёмно-красными тычинками на бело-розовых прутиках. Цветёт с мая по июнь, повторно с июля до сентября. Хорош для посадки у ограждений, стен, беседок, пергол, решёток и пр. Может карабкаться по натуральным опорам, напр. небольшим деревьям и кустарникам. Особенно подходит для выращивания в небольших садах и в контейнерах на балконах и террасах.;2,5м;Неприхотлива;Солнце;зона 4;0;0
        Клематис The President, С2, 40-60см;750;Устойчивый, низкий, обильноцветущий сорт. Цветки крупные, фиолетово-синие, с тёмно-красными тычинками на бело-розовых прутиках. Цветёт с мая по июнь, повторно с июля до сентября. Хорош для посадки у ограждений, стен, беседок, пергол, решёток и пр. Может карабкаться по натуральным опорам, напр. небольшим деревьям и кустарникам. Особенно подходит для выращивания в небольших садах и в контейнерах на балконах и террасах.;2,5м;Неприхотлива;Солнце;зона 4;0;0
        Клематис Veronica s Choice;750;Сорт, образующий в июне-июле на прошлогодних побегах махровые, крупные, фиолетово-белые цветки. Высота растения от2 до 3 метров. Цветёт с мая по сентябрь. Высаживают на южном, восточном и западном направлении. Нуждается в слабой обрезке.  Хорошо подходит для посадки у ограждений, беседок, решёток и других садовых опор. Может виться по натуральным опорам, например кустарникам или полукустарникам, не требующих сильной обрезки. Подходит для выращивания в контейнерах.;3м;Неприхотлива;Солнце;зона 4;0;0
        Лимонник;650;Многолетнее деревянистое лианообразное вьющееся растение. Естественно произрастает на Дальнем Востоке. Относится к семейству магнолиевых. Ветви толщиной 1—2 см, длиной до 10 м. Лимонник — декоративное зимостойкое растение. От весенних заморозков страдает мало, так как цветет в конце мая —начале июня. Листья сочные, простые, крупные, яйцевидные. Цветки двудомные и однодомные, белые или розовые, душистые.;10м;Неприхотлива;Солнце;зона 4;0;0
