name;price;description;height;soil;lighting;area;form;decorative;landing
            Ель Glauca Daisy's White 20-30;740;Карликовое конусовидное хвойное вечнозеленое растение высотой 0,8- 1 м., которое способно менять цвет хвои от условий, в которых произрастает, от салатового  до золотисто-жёлтого, порой белого.  Медленнорастущее.  Весной хвоя желтовато-белого цвета, а летние приросты -  ярко-зеленые. Иголочки нежные, мягкие, короткие.;1м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;1;0
            Ель Glauca Daisy's  White 60-70;1550;Карликовое конусовидное хвойное вечнозеленое растение высотой 0,8- 1 м., которое способно менять цвет хвои от условий, в которых произрастает, от салатового  до золотисто-жёлтого, порой белого.  Медленнорастущее.  Весной хвоя желтовато-белого цвета, а летние приросты -  ярко-зеленые. Иголочки нежные, мягкие, короткие.;1м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;1;0
            Ель Glauca Echiniformis,  С2,  15-20см;740;Карликовая форма кустарника высотой до 0,5 метров и шириной 0,3 метра. В молодости образует плотный шар. Медленнорастущее. Побеги короткие, хвоя голубовато- зеленая. ;0,5м;Слабокислые, влажные;Солнце, полутень;зона 5А;Карликовый кустарник;1;0
            Ель Glauca Echiniformis,  С2,  20-30;1150;Карликовая форма кустарника высотой до 0,5 метров и шириной 0,3 метра. В молодости образует плотный шар. Медленнорастущее. Побеги короткие, хвоя голубовато- зеленая. ;0,5м;Слабокислые, влажные;Солнце, полутень;зона 5А;Карликовый кустарник;1;0
            Ель Glauca Rainbow's End 20-30;740;Карликовая форма кустарника высотой до 1 метра, конусовидной формы. Прошлогодние хвоинки - зеленые, весенний прирост – ярко зеленый, а летний - насыщенного желтого цвета.;1м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;1;0
            Ель Glauca Sander s Blue 20-40;740;Медленнорастущая карликовая форма ели с узкоконической кроной, высотой до 1 -3 м. Хвоя светло-голубая. Зимостойка, светолюбива, наименее подвержена весенним солнечным ожогам. К влаге и почвам малотребовательна – растет на любых хорошо дренированных, не очень плодородных почвах.;3м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;1;0
            Ель Mariana Beissneri 40-60;3750;Дерево с густой конусовидной кроной. Медленнорастущее. Хвоя короткая, жесткая, серо-зеленая. Нетребовательно к почве и очень устойчиво к негативным факторам.;5м;Неприхотлива;Солнце, полутень;зона 4;Небольшое дерево;0;0
            Ель Mariana Nana  10-20;740;Изящная карликовая форма, редко выше 50 см высотой, с равномерно округлой кроной. В возрасте 10 лет достигает 0,3 метров в высоту и 0,8 метров в диаметре. Хвоя тонкая, короткая, голубовато-зеленого цвета. Медленнорастущее. Устойчива к морозам. ;0,3м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Ель Mariana Nana,  С2,  20-30см;740;Изящная карликовая форма, редко выше 50 см высотой, с равномерно округлой кроной. В возрасте 10 лет достигает 0,3 метров в высоту и 0,8 метров в диаметре. Хвоя тонкая, короткая, голубовато-зеленого цвета. Медленнорастущее. Устойчива к морозам. ;0,3м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Ель Mariana Nana,  С5,  30-50см;1700;Изящная карликовая форма, редко выше 50 см высотой, с равномерно округлой кроной. В возрасте 10 лет достигает 0,3 метров в высоту и 0,8 метров в диаметре. Хвоя тонкая, короткая, голубовато-зеленого цвета. Медленнорастущее. Устойчива к морозам. ;0,3м;Неприхотлива;Солнце, полутень;зона 4;Карликовый кустарник;0;0
            Ель Omorika Nana 30-50;3900;Карликовая форма кустарника с плоскошаровидной кроной высотой до 1,5 метров в высоту. Побеги короткие, жесткие, хвоя согнутая с бело- голубой нижней стороной.;1,5м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;0;0
            Ель Omorika,  С25,  160-180см;5200;Высокое дерево с четким прямым стволом и узкой кроной. Быстрорастущее. Боковые ветви часто дугообразно согнутые, новые побеги свисают вниз. Хвоя двухцветная, сверху темно- зеленая, с другой стороны сине-белая.;15м;Неприхотлива;Солнце, полутень;зона 5А;Высокое дерево;0;0
            Ель Omorika,  С25,  180-200см;5600;Высокое дерево с четким прямым стволом и узкой кроной. Быстрорастущее. Боковые ветви часто дугообразно согнутые, новые побеги свисают вниз. Хвоя двухцветная, сверху темно- зеленая, с другой стороны сине-белая.;15м;Неприхотлива;Солнце, полутень;зона 5А;Высокое дерево;0;0
            Ель Pungens Baby Blue Eyes 20-40;1940;Высокое дерево с плотной, симметричной пирамидальной кроной. Хвоя голубая, колючая. Высотой до 4-5 метров, диаметром кроны до 2,5-3 метров.Хвоя серебристо-голубая, густая, колючая, короткая. Почки крупные, декоративные, весной распускаются позже остальных. Медленнорасущее.;7м;Неприхотлива;Солнце, полутень;зона 5А;Высокое дерево;0;0
            Ель Pungens Bialobok 20-30;1860;Невысокое дерево  с неравномерной формой. Медленнорастущее. Высотой до 2 метров. Побеги короткие, твердые. Хвоя серебристо- голубая, на малодых приростах весной желто- кремовая. Неприхотлив.;2м;Неприхотлива;Солнце;зона 4;Небольшое дерево;1;0
            Ель Pungens Blue Mountain 40-60;2600;Высокое дерево с правильной ширококонусовидной кроной, высотой до 30 метров. Хвоя длинная, колючая, ярко голубого цвета с серебристым оттенком. Неприхотлива. Устойчива к заморозкам.;30м;Неприхотлива;Солнце;зона 4;Высокое дерево;1;0
            Ель Pungens Edith 40-60;2600;Невысокое дерево с привильной конусообразной кроной, до 2 метров высотой. Хвоя длинная, тонкая серебристо- голубого цвета, радиально расположенна на гибких побегах. Неприхотлива. ;2м;Неприхотлива;Солнце;зона 4;Небольшое дерево;0;0
            Ель Pungens Glauca  150-170;8000;Крупное дерево с прекрасной, правильной, конической кроной. Высотой до 30 метров. Крона очень густая, ширококоническая, с острой верхушкой. Ветви жесткие, горизонтальные. Хвоя жесткая, голубоватая.;30м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
            Ель Pungens Glauca  30-50;1000;Крупное дерево с прекрасной, правильной, конической кроной. Высотой до 30 метров. Крона очень густая, ширококоническая, с острой верхушкой. Ветви жесткие, горизонтальные. Хвоя жесткая, голубоватая.;30м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
            Ель Pungens Glauca Globosa   20-30;2800;Карликовая ель ростом до 3 метров. Крона ширококоническая, полушаровидная, без четкого ствола. Побеги короткие, жесткие. Хвоя серебристо- голубая, колючая. Неприхотливая.;3м;Неприхотлива;Солнце;зона 4;Небольшое дерево;1;0
            Ель Pungens Glauca Globosa 20-25;2100;Карликовая ель ростом до 3 метров. Крона ширококоническая, полушаровидная, без четкого ствола. Побеги короткие, жесткие. Хвоя серебристо- голубая, колючая. Неприхотливая.;3м;Неприхотлива;Солнце;зона 4;Небольшое дерево;1;0
            Ель Pungens Glauca Globosa C7.5  20-30;3500;Карликовая ель ростом до 3 метров. Крона ширококоническая, полушаровидная, без четкого ствола. Побеги короткие, жесткие. Хвоя серебристо- голубая, колючая. Неприхотливая.;3м;Неприхотлива;Солнце;зона 4;Небольшое дерево;1;0
            Ель Pungens Glauca,  С5,  50-70см;1400;Крупное дерево с прекрасной, правильной, конической кроной. Высотой до 30 метров. Крона очень густая, ширококоническая, с острой верхушкой. Ветви жесткие, горизонтальные. Хвоя жесткая, голубоватая.;30м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
            Ель Pungens Hoopsii,  40-60;4450;Высокое дерево с правильной конусообразной кроной и четким стволом. Хвоя серебристо- голубая. Высотой до 10 метров. Неприхотливая. ;10м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
            Ель Pungens Hoopsii,  C10,  60-80см;5600;Высокое дерево с правильной конусообразной кроной и четким стволом. Хвоя серебристо- голубая. Высотой до 10 метров. Неприхотливая. ;10м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
            Ель Pungens Hoopsii,  C3,  20-30см;2300;Высокое дерево с правильной конусообразной кроной и четким стволом. Хвоя серебристо- голубая. Высотой до 10 метров. Неприхотливая. ;10м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
            Ель Pungens Hoopsii,  C5 30-40;3850;Высокое дерево с правильной конусообразной кроной и четким стволом. Хвоя серебристо- голубая. Высотой до 10 метров. Неприхотливая. ;10м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
            Ель Pungens Hoopsii,  C5 30-50;3500;Высокое дерево с правильной конусообразной кроной и четким стволом. Хвоя серебристо- голубая. Высотой до 10 метров. Неприхотливая. ;10м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
            Ель Pungens Maigold 20-30;2350;Невысокое дерево до 3 метров высотой, с нерегулярной  конусовидной кроной. Побеги твердые. Хвоя темно- зеленого цвета, весной новые приросты ярко- желтого цвета. Неприхотива.;3м;Неприхотлива;Солнце;зона 4;Небольшое дерево;1;0
            Ель голубая колючая 1.2м;13000;Высокое дерево с конусовидной кроной, высотой до 15 метров. Ветви прочные растут под прямым углом к стволу. Хвоя жесткая, колючая, сизо-зеленого практически голубого цвета. Позже у взрослых деревьев хвоя становится голубой. Неприхотлива.;15м;Неприхотлива;Солнце;зона 4;Высокое дерево;1;0
            Ель голубая колючая 1.3м;20000;Высокое дерево с конусовидной кроной, высотой до 15 метров. Ветви прочные растут под прямым углом к стволу. Хвоя жесткая, колючая, сизо-зеленого практически голубого цвета. Позже у взрослых деревьев хвоя становится голубой. Неприхотлива.;15м;Неприхотлива;Солнце;зона 4;Высокое дерево;1;0
            Ель голубая( колючая) крупнохвойная  0.8-1.0м ;11000;Высокое дерево с конусовидной кроной, высотой до 15 метров. Ветви прочные растут под прямым углом к стволу. Хвоя жесткая, колючая, сизо-зеленого практически голубого цвета. Позже у взрослых деревьев хвоя становится голубой. Неприхотлива.;15м;Неприхотлива;Солнце;зона 4;Высокое дерево;1;0
            Ель голубая( колючая) крупнохвойная 1.0-1.3м ;18000;Высокое дерево с конусовидной кроной, высотой до 15 метров. Ветви прочные растут под прямым углом к стволу. Хвоя жесткая, колючая, сизо-зеленого практически голубого цвета. Позже у взрослых деревьев хвоя становится голубой. Неприхотлива.;15м;Неприхотлива;Солнце;зона 4;Высокое дерево;1;0
            Ель голубая( колючая) крупнохвойная 1.3-1.5м ;25000;Высокое дерево с конусовидной кроной, высотой до 15 метров. Ветви прочные растут под прямым углом к стволу. Хвоя жесткая, колючая, сизо-зеленого практически голубого цвета. Позже у взрослых деревьев хвоя становится голубой. Неприхотлива.;15м;Неприхотлива;Солнце;зона 4;Высокое дерево;1;0
            Ель канадская Laurin;9250;Карликовая ель ростом до 0,4 метров. Крона конусообразная. Медленнорастущее. Побеги тонкие, жесткие. Хвоя нежная, зеленая, приросты светло-зеленого цвета. Склонна к повреждению сосновым паутинным клещем.;0,4м;Неприхотлива;Солнце, полутень;зона 5А;Карликовый кустарник;0;0
            Ель колючая Glauca Pendyla;4050;Высокое дерево до 8 метров высотой. Ветви плакучие невероятных форм и изгибов, густые. Придают дереву сказочный вид. Хвоя тонкая, яркая, светло-голубая. Нуждается в подвязке и опоре до необходимой высоты.;8м;Неприхотлива;Солнце;зона 4;Высокое дерево;1;0
            Ель колючая Hoopsii  0,8-1,0м;4900;Высокое дерево с правильной конусообразной кроной и четким стволом. Хвоя серебристо- голубая. Высотой до 10 метров. Неприхотливая. ;10м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
            Ель сибирская (зелёная),сеянцы,3-4года;50;Крупное дерево достигающее 25-30 метров в высоту. Имеет узкопирамидальную или пирамидальную кроноу, крона начинается от самого основания ствола. Хвоя насыщенно зеленого цвета. Пригодня для стрижки и создания живой изгороди.;30м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
            Кедр (сеянцы) 5-6лет, 0,7-0,8м;1000;Вечнозелёное дерево, достигающее 35—44 метров в высоту и 2 метров в диаметре ствола. Отличается густой, часто многовершинной кроной с толстыми сучьями. Ствол буро-серый, у старых деревьев образует чешуйчатую кору. Хвоя тёмно-зелёная с сизым налётом, мягкая.;44м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
            Кипарисовик lawsoniana Alumii 60-80 ;450;Невысокое дерево с четко пиромидальной кроной, высотой до 3 метров. Побеги растут вертикально вдоль ствола. Хвоя чашуйчатовидная серо-сизого цвета. Неприхотлив.;3м;Неприхотлива;Солнце;зона 6В;Небольшое дерево;0;0
            Листвинница decidua Kornik Pa 100-120;3400;Карликовый кустарник с шаровидной кроной, обычно выращивается в штамбовой форме, в этом случае имеет вид небольшого дерева с кроной. Выстой до 1 метра. Побеги короткие с смолянистыми почками. Хвоя зеленая, опадающая.;1м;Неприхотлива;Солнце;зона 4;Небольшое дерево;0;0
            Листвинница decidua Puli Pa 100-130;2600;Карликовый сорт лиственницы с плакучей кроной, которая образована изящными поникающими ветвями. Привит на штамб. Крона узкая, ветви направлены прямо вниз. Это небольшое деревце, которое достигает высоты 1,5-2 метра. Хвоя летом серо-сине-зеленая, осенью желтеет.;2м;Неприхотлива;Солнце;зона 4;Небольшое дерево;0;0
            Листвинница decidua Repens Pa 120-140;3400;Карликовый вид лиственницы обычно привит на штамб, с стелющимися по земле побегами, поэтому прививка на высоте 1,5 – 2 метра. Тонкие гибкие побеги свисают к земле, придавая живописности растению. Иглы собраны в пучках, весной светло – зеленые, осенью коричнево – желтые, опадают.;2м;Неприхотлива;Солнце;зона 4;Небольшое дерево;0;0
            Листвинница decidua Repens Pa(6-8)  150-200;6200;Карликовый вид лиственницы обычно привит на штамб, с стелющимися по земле побегами, поэтому прививка на высоте 1,5 – 2 метра. Тонкие гибкие побеги свисают к земле, придавая живописности растению. Иглы собраны в пучках, весной светло – зеленые, осенью коричнево – желтые, опадают.;2м;Неприхотлива;Солнце;зона 4;Небольшое дерево;0;0
            Микробиота decussata 40-50-1;930;Низкий раскидистый кустарник до 0,5 метров высотой и 2 метра в диаметре. Хвоя игольчатые чашуйки, мелкая, темно- зеленого цвета, осень коричнево- желтая. Неприхотлив. ;0,5м;Неприхотлива;Солнце;зона 3;Карликовый стелящийся кустарник;0;0
            Сосна Heldreichii Compact Gem,  С3,  30-40см;3200;Вечнозелёный широкопирамидальный, медленно растущий кустарник с часто расположенными ветвями и плотной кроной. Медленнорастущее. Хвоя тёмно-зелёная, парная. Высотой до 3,5 метров. ;3,5м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Сосна Heldreichii Compact Gem,  С5,  35-55см;4100;Вечнозелёный широкопирамидальный, медленно растущий кустарник с часто расположенными ветвями и плотной кроной. Медленнорастущее. Хвоя тёмно-зелёная, парная. Высотой до 3,5 метров. ;3,5м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Сосна Heldreichii Satellit,  С5/10,  70-90см;5400;Медленно растущая форма с колонновидной кроной. Высотой до 2,5 метра. Хвоя длинная, жёсткая, скрученная, зелёная. Концы побегов направлены вверх. ;2,5м;Неприхотлива;Солнце;зона 6А;Небольшое дерево;0;0
            Сосна Mugo Gnom  20-30;1860;Карликовый кустарник плотный, компактный, в молодости - округлый, с возрастом - куполообразный. Высотой до 1 метра. Хвоя короткая, жесткая, темно-зеленая, блестящая. Коричневые шишки 2-4 см. ;1м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Сосна Mugo Gnom,  С3,  20-30см;2300;Карликовый кустарник плотный, компактный, в молодости - округлый, с возрастом - куполообразный. Высотой до 1 метра. Хвоя короткая, жесткая, темно-зеленая, блестящая. Коричневые шишки 2-4 см. ;1м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Сосна Mugo Golden Glow,  С3,  20-40см;2300;Вечнозеленое хвойное растение, карликовая, медленно растущая, декоративная форма горной сосны.Высотой до  1 метра. Этот сорт сосны отличается красивым цветом хвои, которая в холодный период года приобретает насыщенный золотисто-желтый оттенок. Летом же хвоя этого сорта ярко-зеленая.;1м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Сосна Mugo Mini Mops,  С3,  15-25см;3000;Симметричнорастущий, подушковидный, карликовый кустарник, очень медленнорастущий. Высотой до 0,5 метра , ширина 0,5-0,8 метра. Хвоя короткая, жесткая, темно-зеленая, обычно немного изогнутая и слегка скрученная. ;0,5м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Сосна Mugo Mops, 15-25;1850;Карликовый шаровидный кустарник, плотный, компактный.Высотой до 0,5 метров. Хвоя короткая, жесткая, блестящая, темно- зеленая. Предпочитает солнечные места. К почве не требовательна, растет на любых хорошо дренированных почвах, от кислых до щелочных. Морозостойкий. ;0,5м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Сосна Mugo var mughus 20-25;560;Карликовый шаровидный кустарник, плотный, компактный. Хвоя  жесткая, блестящая, темно- зеленая. Плоды серо-коричневые шишки до 5 см. Предпочитает солнечные места. К почве не требовательна;3м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Сосна Mugo var mughus 30-40;560;Карликовый шаровидный кустарник, плотный, компактный. Хвоя  жесткая, блестящая, темно- зеленая. Плоды серо-коричневые шишки до 5 см. Предпочитает солнечные места. К почве не требовательна;3м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Сосна Mugo var.pumilio,  40-50;1750;Распростертый стелющийся кустарник высотой не более 2 метров с поднимающимися побегами. Хвоя по две в пучках, часто немного закрученная, темно-зеленая, густая, жесткая, сохраняющаяся на побегах 3-5 лет. Шишки симметричные, сидячие, желто-коричневые.;2м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Сосна Mugo var.pumilio,  С2,  15-20см;570;Распростертый стелющийся кустарник высотой не более 2 метров с поднимающимися побегами. Хвоя по две в пучках, часто немного закрученная, темно-зеленая, густая, жесткая, сохраняющаяся на побегах 3-5 лет. Шишки симметричные, сидячие, желто-коричневые.;2м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Сосна Mugo var.pumilio,  С2,  20-25см;650;Распростертый стелющийся кустарник высотой не более 2 метров с поднимающимися побегами. Хвоя по две в пучках, часто немного закрученная, темно-зеленая, густая, жесткая, сохраняющаяся на побегах 3-5 лет. Шишки симметричные, сидячие, желто-коричневые.;2м;Неприхотлива;Солнце;зона 4;Карликовый кустарник;0;0
            Сосна Nigra ,  С10,  100-120см;2300;Высокое дерево до 10 метров в высоту, с широкой зонтообразной кроной. Коро темная потрескавшаяся. Хвоя темно- зеленая, жесткая, соединенные по две хвоинке. Шишки светло- коричневые.;10м;Неприхотлива;Солнце;зона 5В;Высокое дерево;0;0
            Сосна Nigra ,  С5,  40-50см;750;Высокое дерево до 10 метров в высоту, с широкой зонтообразной кроной. Коро темная потрескавшаяся. Хвоя темно- зеленая, жесткая, соединенные по две хвоинке. Шишки светло- коричневые.;10м;Неприхотлива;Солнце;зона 5В;Высокое дерево;0;0
            Сосна Nigra Globosa ,  С5,  30-40см;2800;Невысокое дерево до 3 метров высотой, крона шаровидная  достигает 3-4 метра в диаметре. Медленнорастущее. Побеги крупные заканчиваются светло-желтыми почками. Хвоя длинная, темно-зеленая.;3м;Неприхотлива;Солнце;зона 5В;Небольшое дерево;0;0
            Сосна Strobus Glauсa 20-40;1850;"У молодых растений крона узкопирамидальная, с возрастом становится асимметричная, широковетвистая. Высота 20-30 м, ширина 6-10 м. Хвоя мягкая, голубовато-зеленая, тонкая, до 10 см длиной, пятихвойная, в виде кисточек на побегах. Зимой часто желтовато-зеленая; меняется каждые 2-3 года.
Корневая система широкая, поверхностная или относительно глубокая, чувствительна к уплотнению почвы.
";10м;Неприхотлива;Солнце, полутень;зона 5В;Высокое дерево;0;0
            Сосна Sylvestris Fastigiata 50-70;4050; Узкоколоновидная, древесная форма. Ветви жесткие, расположены вертикально. Рост умеренный. Годовой прирост составляет 15 см в высоту и 5 см в ширину. В 30 лет достигает 6-8 м высоты. Цвет хвои голубовато-зеленая. Один мощный лидирующий побег и слабые, короткие и прижатые к стволу боковые ветви. Светолюбива. Засухоустойчива. Зимостойка, не требует защиты от ветра.;15м;Неприхотлива;Солнце;зона 5В;Высокое дерево;0;0
            Сосна Sylvestris Globosa Viridis 40-60;3650;Карликовый кустарник, высотой до 1-1,5 метров. Крона закругленная или яйцевидная, густая, не всегда равномерно развитая во все стороны. Ветви плотные, доходящие до земли. Хвоя длинная, жесткая, темно-зеленая. Молодая хвоя появляется поздно летом и закрывает зимние почки.;2м;Неприхотлива;Солнце;зона 5В;Небольшое дерево;0;0
            Сосна Sylvestris Watereri 20-40;1860;Плотный, округлый, медленно растущий сорт сосны, достигающий в диаметре кроны 3 м в возрасте 30 лет. Побеги короткие, жесткие. Хвоя голубоватая, колючая, собранная по две хвоинки. Требования к почве и влаге невысокие. Растение чувствительное к загрязнению воздуха. Рекомендуется для малых, каменистых или вересковых садов.;3м;Неприхотлива;Солнце;зона 5В;Небольшое дерево;0;0
            Сосна Sylvestris Watereri 80/100;4200;Плотный, округлый, медленно растущий сорт сосны, достигающий в диаметре кроны 3 м в возрасте 30 лет. Побеги короткие, жесткие. Хвоя голубоватая, колючая, собранная по две хвоинки. Требования к почве и влаге невысокие. Растение чувствительное к загрязнению воздуха. Рекомендуется для малых, каменистых или вересковых садов.;3м;Неприхотлива;Солнце;зона 5В;Небольшое дерево;0;0
            Сосна горная Pumilio 30-50 см;1860;Хвойный, вечнозеленый кустарник семейства Сосновые, который отличается достаточно низким ростом. Крона плоскоокруглой формы, напоминает подушку. С годами она становиться более распростертой низко над землей. Ветви ее густо растут друг к дружке, благодаря чему они не ломаются под большим слоем снега. В зрелом возрасте сосна может достигать до 1-1,5 м в высоту и 2-3 м в ширину. Соответственно годовой прирост становит около 5 см и 12 см. После 30 лет достигает 1 м высотой. Хвоя длина хвоинок разная, но все они являются очень жесткими. Собраны в пучках по 2 штуки. Окраска темно-зеленая.;1м;Неприхотлива;Солнце;зона 5В;Карликовый кустарник;0;0
            Сосна обыкновенная, сеянцы 20-30см;50;Рост  35-40 м в высоту. Окружность ствола достигает 1 м. Покрыт он красновато-бурой, с бороздками, отслаивающейся корой. У основания ствола кора намного толще той, которая расположена вверху. Пока дерево молодое, крона имеет конусовидную форму. С возрастом она круглеет, становится более шире, а в старости приобретает плоскую или зонтиковидную форму. Сосновая хвоя имеет сизо-зеленый цвет. Она достаточно плотная, часто торчащая, изогнутая, собранная в пучки по 2 иголки. Длина 4-7 см. Хвоинки заостренные, чуть сплюснутые, имеют тонкую продольную полосу. Живет хвоя 3 года. Осенью, чаще в сентябре, часть хвои опадает. Перед этим хвоинки приобретают желтый цвет, от чего крона выглядит пестрой.;40м;Неприхотлива;Солнце;зона 5В;Высокое дерево;0;0
            Тис Media Hicksii 40-60;650;Крупный, быстрорастущий кустарник. Имеет красивую форму кроны и окраску хвои. Высота 3-5 м, диаметр кроны 3-4 м. Крона колонновидная. Побеги приподнятые, жесткие. Хвоя игольчатая, на прямых побегах расположена радиально, на боковых - двухстрочная, 2,5-3 см длины, блестящая, темно-зеленая с отчетливой центральной жилкой. Обильно завязывает декоративные семена, покрытые красной оболочкой. Шишки очень многочисленные. Годовой прирост в высоту 15 см, в ширину 10 см. Теневынослив. Предпочитает свежие, хорошо дренированные суглинистые почвы, не переносит застоя воды и кислых почв. Дымо- и газоустойчив. Хорошо стрижется. Применение - одиночные посадки, группы. Лучший сорт для низкой стриженой живой изгороди. Морозостоек.;5м;Неприхотлива;Солнце;зона 6А;Высокий кустарник;0;0
