name;price;description;height;soil;lighting;area;form;decorative;landing
"        Малина ремонтантная ""Недосягаемая""";100;Ремонтантный сорт малины отечественной селекции. Признан как ранний и урожайный сорт малины. Первый урожай созревает уже 8-10 июня, второй - с 25 июля. Ягоды темно-красные, средним весом 5-7г, тупоконической формы, красивые. Кусты высотой до 1,2-1,5 метра, слабо ошипованы, с сильным ветвлением. Требуют подвязки. Урожайность очень высокая.;2м;Неприхотлива;Солнце;зона 4;Высокий кустарник;0;0
        Саженцы крыжовника;120;"Небольшой кустарник высотой до 1 м, с темно-серой или темно-коричневой корой. На ветвях имеются колючки; листья длиной до 6 см, тускло-зеленого оттенка, короткоопушенные. Листовая пластинка с 3–5 лопастями, с зубчатым краем. Цветки зеленоватые или красноватые, чаще одиночные. Плоды крыжовника – ягоды округлой или овальной формы, с хорошо заметными жилками, голые или щетинистые, в зависимости от сорта, величиной от 12 до 40 мм. Цвет варьируется от зеленого до пурпурного.";1м;Неприхотлива;Солнце;зона 4;Небольшой кустарник;0;0
        Саженцы малины;30;Побеги высотой 1,6-2 м, с некрупными шипами. Сорт достаточно зимостойкий. Ягоды массой 2,3-4,5 г, плотные, приятного кисло-сладкого вкуса, не спекаются на солнце, транспортабельные, хорошо хранятся. Плодоношение закрытого типа. Кусты нуждаются в хорошем проветривании, удалении лишних  побегов.;2м;Неприхотлива;Солнце;зона 4;Высокий кустарник;0;0
        Саженцы смородины красной;100;Растение высотой 1—2 м с побегами серого или желтоватого цвета. Древесина зеленоватая со светлой сердцевиной.Листья 3—5-лопастные с зазубренными краями и гладким блестящим верхом. Нижняя сторона листа более светлого оттенка, иногда с опушёнными жилками. Цветки неприметные мелкие жёлто-зелёные или красновато-бурые, собранные в кисти. Цветение проходит в мае. Плоды — ярко-красные сочные ягоды, кислые на вкус, диаметром 8—12 мм, образуют грозди.;2м;Неприхотлива;Солнце;зона 4;Высокий кустарник;0;0
        Саженцы смородины чёрной;100;Растение высотой 1—2 м с побегами серого или желтоватого цвета. Древесина зеленоватая со светлой сердцевиной.Листья 3—5-лопастные с зазубренными краями и гладким блестящим верхом. Нижняя сторона листа более светлого оттенка, иногда с опушёнными жилками. Цветки неприметные мелкие жёлто-зелёные или красновато-бурые, собранные в кисти. Цветение проходит в мае. Плоды — ярко-красные сочные ягоды, кислые на вкус, диаметром 8—12 мм, образуют грозди.;2м;Неприхотлива;Солнце;зона 4;Высокий кустарник;0;0
"        Смородина красная 2-х лет ""Андрейченко""";180;Растение высотой 1—2 м с побегами серого или желтоватого цвета. Древесина зеленоватая со светлой сердцевиной.Листья 3—5-лопастные с зазубренными краями и гладким блестящим верхом. Нижняя сторона листа более светлого оттенка, иногда с опушёнными жилками. Цветки неприметные мелкие жёлто-зелёные или красновато-бурые, собранные в кисти. Цветение проходит в мае. Плоды — ярко-красные сочные ягоды, кислые на вкус, диаметром 8—12 мм, образуют грозди.;2м;Неприхотлива;Солнце;зона 4;Высокий кустарник;0;0
"        Смородина красная 2-х лет ""Красная""";180;Растение высотой 1—2 м с побегами серого или желтоватого цвета. Древесина зеленоватая со светлой сердцевиной.Листья 3—5-лопастные с зазубренными краями и гладким блестящим верхом. Нижняя сторона листа более светлого оттенка, иногда с опушёнными жилками. Цветки неприметные мелкие жёлто-зелёные или красновато-бурые, собранные в кисти. Цветение проходит в мае. Плоды — ярко-красные сочные ягоды, кислые на вкус, диаметром 8—12 мм, образуют грозди.;2м;Неприхотлива;Солнце;зона 4;Высокий кустарник;0;0
"        Смородина чёрная 2-х лет ""Гармония""";150;Растение высотой 1—2 м с побегами серого или желтоватого цвета. Древесина зеленоватая со светлой сердцевиной.Листья 3—5-лопастные с зазубренными краями и гладким блестящим верхом. Нижняя сторона листа более светлого оттенка, иногда с опушёнными жилками. Цветки неприметные мелкие жёлто-зелёные или красновато-бурые, собранные в кисти. Цветение проходит в мае. Плоды — ярко-красные сочные ягоды, кислые на вкус, диаметром 8—12 мм, образуют грозди.;2м;Неприхотлива;Солнце;зона 4;Высокий кустарник;0;0
"        Смородина чёрная 2-х лет ""Мила""";150;Растение высотой 1—2 м с побегами серого или желтоватого цвета. Древесина зеленоватая со светлой сердцевиной.Листья 3—5-лопастные с зазубренными краями и гладким блестящим верхом. Нижняя сторона листа более светлого оттенка, иногда с опушёнными жилками. Цветки неприметные мелкие жёлто-зелёные или красновато-бурые, собранные в кисти. Цветение проходит в мае. Плоды — ярко-красные сочные ягоды, кислые на вкус, диаметром 8—12 мм, образуют грозди.;2м;Неприхотлива;Солнце;зона 4;Высокий кустарник;0;0
        Ежевика;80;Побеги высотой 1,6-2 м, с некрупными шипами. Сорт достаточно зимостойкий. Ягоды массой 2,3-4,5 г, плотные, приятного кисло-сладкого вкуса, не спекаются на солнце, транспортабельные, хорошо хранятся. Плодоношение закрытого типа. Кусты нуждаются в хорошем проветривании, удалении лишних  побегов.;2м;Неприхотлива;Солнце;зона 4;Высокий кустарник;0;0
        Малина (сортавая);50;Побеги высотой 1,6-2 м, с некрупными шипами. Сорт достаточно зимостойкий. Ягоды массой 2,3-4,5 г, плотные, приятного кисло-сладкого вкуса, не спекаются на солнце, транспортабельные, хорошо хранятся. Плодоношение закрытого типа. Кусты нуждаются в хорошем проветривании, удалении лишних  побегов.;2м;Неприхотлива;Солнце;зона 4;Высокий кустарник;0;0
                Смородина белая, 2-3года;180;Растение высотой 1—2 м с побегами серого или желтоватого цвета. Древесина зеленоватая со светлой сердцевиной.Листья 3—5-лопастные с зазубренными краями и гладким блестящим верхом. Нижняя сторона листа более светлого оттенка, иногда с опушёнными жилками. Цветки неприметные мелкие жёлто-зелёные или красновато-бурые, собранные в кисти. Цветение проходит в мае. Плоды — ярко-красные сочные ягоды, кислые на вкус, диаметром 8—12 мм, образуют грозди.;2м;Неприхотлива;Солнце;зона 4;Высокий кустарник;0;0
                Смородина красная, 30-50см;180;Растение высотой 1—2 м с побегами серого или желтоватого цвета. Древесина зеленоватая со светлой сердцевиной.Листья 3—5-лопастные с зазубренными краями и гладким блестящим верхом. Нижняя сторона листа более светлого оттенка, иногда с опушёнными жилками. Цветки неприметные мелкие жёлто-зелёные или красновато-бурые, собранные в кисти. Цветение проходит в мае. Плоды — ярко-красные сочные ягоды, кислые на вкус, диаметром 8—12 мм, образуют грозди.;2м;Неприхотлива;Солнце;зона 4;Высокий кустарник;0;0
                Смородина черная, 2-3года;200;Растение высотой 1—2 м с побегами серого или желтоватого цвета. Древесина зеленоватая со светлой сердцевиной.Листья 3—5-лопастные с зазубренными краями и гладким блестящим верхом. Нижняя сторона листа более светлого оттенка, иногда с опушёнными жилками. Цветки неприметные мелкие жёлто-зелёные или красновато-бурые, собранные в кисти. Цветение проходит в мае. Плоды — ярко-красные сочные ягоды, кислые на вкус, диаметром 8—12 мм, образуют грозди.;2м;Неприхотлива;Солнце;зона 4;Высокий кустарник;0;0
