name;price;description;height;soil;lighting;area;form;decorative;landing
        Боярышник monogyna Variegata  ,С5, 100-150см;2200;Небольшое дерево 3-6 м высотой. Крона компактная, симметричная. Листья небольшие, пёстрые, осенью золотисто-жёлтые. Цветёт в мае-июне, цветки бело- розовые, собраны в соцветие. Тёмно-красные или чёрные плоды украшают дерево до самых морозов.;6м;Щелочные;Солнце, полутень;зона 5;Небольшое дерево;0;0
        Боярышник monogyna Variegata  80-100;1700;Небольшое дерево 3-6 м высотой. Крона компактная, симметричная. Листья небольшие, пёстрые, осенью золотисто-жёлтые. Цветёт в мае-июне, цветки бело- розовые, собраны в соцветие. Тёмно-красные или чёрные плоды украшают дерево до самых морозов.;6м;Щелочные;Солнце, полутень;зона 5;Небольшое дерево;0;0
        Боярышник кровавокрасный;280;Дерево до 4 метров высотой, семейства розоцветных. Побеги растения имеют длинные острые шипы длиной от 2,5 до 5 см. Листья перистые, темно-зеленого цвета. Цветки белые, мелкие. Плоды шарообразные, диаметром до 1 см, кораллово-красные.;4м;Неприхотлива;Солнце, полутень;зона 5А;Небольшое дерево;0;1
        Гинкго biloba Pendula 40-60;1860;Небольшое дерево с плакучими ветвями, имеет зонтообразную крону. В 10 летнем возрасте  крона 2 метра в диаметре. Листья зеленые, осенью золотисто-желтые. Обычно выраиваются штамбовые формы.;18м;Неприхотлива;Солнце, полутень;зона 5А;Декоративное дерево;0;0
        Дуб(сеянцы) 1-2года;60;Раскидистое дерево с прямым стволом, достигает 20 метров в высоту и 12-20 метров в ширину. Ветви расположены вертикально вдоль ствола. Листья кожистые зеленые. Неприхотлив, растет на сухих, песчанных почвах;20м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
        Дуб(сеянцы) 3года;170;Раскидистое дерево с прямым стволом, достигает 20 метров в высоту и 12-20 метров в ширину. Ветви расположены вертикально вдоль ствола. Листья кожистые зеленые. Неприхотлив, растет на сухих, песчанных почвах;20м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
        Дуб(сеянцы) 4-5лет;250;Раскидистое дерево с прямым стволом, достигает 20 метров в высоту и 12-20 метров в ширину. Ветви расположены вертикально вдоль ствола. Листья кожистые зеленые. Неприхотлив, растет на сухих, песчанных почвах;20м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
        Дуб(сеянцы) 6-8лет;500;Раскидистое дерево с прямым стволом, достигает 20 метров в высоту и 12-20 метров в ширину. Ветви расположены вертикально вдоль ствола. Листья кожистые зеленые. Неприхотлив, растет на сухих, песчанных почвах;20м;Неприхотлива;Солнце;зона 4;Высокое дерево;0;0
        Ива caprea Curly Lock Pa 200-240;1860;"Небольшое дерево с скрученными до земли плакучими ветвями. Форма штамбовая от 2,5 метров. Листья матово-зеленые. Цветет перед листьями сначало серебристыми потом желтыми ""котиками"".";3м;Неприхотлива;Солнце;зона 4;Декоративное штамбовое дерево;1;1
        Ива caprea Pendula Pa,  125-150        ;1500;Миниатюрное дерево на штамбе, со свисающими до земли побегами. Цветет перед распусканием листьев желтыми ароматными сережками. Листья морщинистые, продолговатые, зеленые, снизу серые. Необходима специальная обрезка, особенно в первые годы, иначе растение не сможет правильно развиваться и не проявит свои декоративные качества.;2,5м;Суглинистые;Солнце;зона 4;Декоративное штамбовое дерево;1;0
        Ива caprea Pendula Pa,  С3,  100-140см          ;740;Миниатюрное дерево на штамбе, со свисающими до земли побегами. Цветет перед распусканием листьев желтыми ароматными сережками. Листья морщинистые, продолговатые, зеленые, снизу серые. Необходима специальная обрезка, особенно в первые годы, иначе растение не сможет правильно развиваться и не проявит свои декоративные качества.;2,5м;Суглинистые;Солнце;зона 4;Декоративное штамбовое дерево;1;0
        Ива integra Hakuro Nishiki Pa,  С15,  150-200см          ;1200;Быстрорастущее небольшо дерево с шаровидной кроной. Побеги красно- коричневые. Молодые листья розоватые, позднее бело-зелёные. Сережки появляются непосредственно перед листьями. Даже после обрезки сохраняет свою густую крону. ;3м;Неприхотлива;Солнце;зона 5В;Декоративное дерево;1;1
        Ива integra Hakuro Nishiki Pa,  С3,  80-120см          ;650;Быстрорастущее небольшо дерево с шаровидной кроной. Побеги красно- коричневые. Молодые листья розоватые, позднее бело-зелёные. Сережки появляются непосредственно перед листьями. Даже после обрезки сохраняет свою густую крону. ;3м;Неприхотлива;Солнце;зона 5В;Декоративное дерево;1;1
        Ива integra Hakuro Nishiki Pa,  С5,  150-180см          ;1100;Быстрорастущее небольшо дерево с шаровидной кроной. Побеги красно- коричневые. Молодые листья розоватые, позднее бело-зелёные. Сережки появляются непосредственно перед листьями. Даже после обрезки сохраняет свою густую крону. ;3м;Неприхотлива;Солнце;зона 5В;Декоративное дерево;1;1
        Ива integra Pendula Pa,  С3,  60-100см          ;470;Деревце с плакучей зонтовидной кроной. Имеет красные побеги и без листвы весьма декоративно. Молодые листья розоватые, позже зеленые. Сережки появляются первее листьев. Подходит для декорирования прудов и водоёмов.;3м;Неприхотлива;Солнце;зона 5В;Декоративное дерево;1;1
        Ива Lebedura;3000;Лиственное многоствольное дерево 2,5-4 м высотой, с массой дугообразно свисающих (плакучих) гибких побегов, образующих легкую ажурную крону, диаметром до 5 м. Побеги светлые  с матовым налетом.Цветки мелкие, собраны в малозаметные сережки. Листья узкие, ланцетные, с голубым налетом с обеих сторон. Осенняя окраска - желтая. Плод коробочка с мелкими семенами.;3м;Неприхотлива;Солнце;зона 5В;Декоративное дерево;1;1
        Ива purpurea Nana Pa 60/100    ;320;Круглый густой кустарник с многочисленными тонкими побегами темно-коричневого цвета. Листья серебристо-зеленые. Нуждается в ежегодной обрезке.;2м;Неприхотлива;Солнце, полутень;зона 5В;Декоративный куст;0;0
        Ива purpurea Nana,  С7.5,  40-60см          ;940;Круглый густой кустарник с многочисленными тонкими побегами темно-коричневого цвета. Листья серебристо-зеленые. Нуждается в ежегодной обрезке.;2м;Неприхотлива;Солнце, полутень;зона 5В;Декоративный куст;0;0
"        Ива белая ""Зелёный шар"" 2-3года";600;Раскидистый невысокий кустарник с воронковидной формой кроны. Боковые ветви немного свисающие. Достигает 3-4 метров в высоту и ширину. Листья ландцетовидные, темно-зеленые. Цветы белые, средние, собраны в крупные кистевидные соцветия, очень ароматные.;3м;Суглинистые,супесчаные;Солнце;зона 5В;Декоративный куст;0;1
"        Ива белая ""Зелёный шар"" 4-5лет, 3-4м.";1200;Раскидистый невысокий кустарник с воронковидной формой кроны. Боковые ветви немного свисающие. Достигает 3-4 метров в высоту и ширину. Листья ландцетовидные, темно-зеленые. Цветы белые, средние, собраны в крупные кистевидные соцветия, очень ароматные.;3м;Суглинистые,супесчаные;Солнце;зона 5В;Декоративный куст;0;1
        Ива извилистая 1,5-2м. 3-5лет;800;Высокое дерево 6-8 метров в высоту. Крона шарообразная, листья зелено- белые скрученные змейками. Ветви извилистые, гибкие. Необходима переодическая обрезка. Прекрасно подойдет для открытой местности и водоема.;6-8м;Неприхотлива;Солнце;зона 5В;Высокое дерево;1;1
        Ива извилистая 2,5м. 4-5лет;2500;Высокое дерево 6-8 метров в высоту. Крона шарообразная, листья зелено- белые скрученные змейками. Ветви извилистые, гибкие. Необходима переодическая обрезка. Прекрасно подойдет для открытой местности и водоема.;6-8м;Неприхотлива;Солнце;зона 5В;Высокое дерево;1;1
        Ива извилистая 3-4м.5-6лет;4000;Высокое дерево 6-8 метров в высоту. Крона шарообразная, листья зелено- белые скрученные змейками. Ветви извилистые, гибкие. Необходима переодическая обрезка. Прекрасно подойдет для открытой местности и водоема.;6-8м;Неприхотлива;Солнце;зона 5В;Высокое дерево;1;1
        Ива курниковская 20-30см.;100;Кустарник имеет форму шара диаметром около 0,5м. Ветви очень тонкие (прирост текущего года 2-3 см), окрашены в темно-малиновый цвет. Листья узколанцетные, густо расположенные, длиной до 4см, наружная сторона – темно-зеленая, внутренняя – серебристо-серо-голубая.;1,5м;Неприхотлива;Солнце;зона 5В;Декоративный куст;1;1
        Ива курниковская 40-80см.;500;Кустарник имеет форму шара диаметром около 0,5м. Ветви очень тонкие (прирост текущего года 2-3 см), окрашены в темно-малиновый цвет. Листья узколанцетные, густо расположенные, длиной до 4см, наружная сторона – темно-зеленая, внутренняя – серебристо-серо-голубая.;1,5м;Неприхотлива;Солнце;зона 5В;Декоративный куст;1;1
        Ива плакучий гном 1,2-1,5м;1200;Дерево высотой до 4-6 м с плакучей раскидистой кроной. Ствол ветвится низко, часто растет в несколько стволов. Из-за сильного роста низко расположенных боковых ветвей и образования нескольких стволов может потребоваться обрезка кроны. Однолетние побеги коричнево-бурые вначале, насыщенно-коричневые зимой, слабо опушенные в период роста, затем голые, с легким блеском. Двулетние побеги без блеска, серо-коричневые.;4-6м;Неприхотлива;Солнце;зона 5В;Декоративное дерево;0;1
        Ива ползучая НИТИДА 2-4года;400;Карликовое ползучее растение высотой 0,3 – 1,0 метра и до 1 метра шириной, с раскидистой кроной и стелющимися ползучими ветвями, растет медленно. Светолюбива, неприхотлива к почве, переносит застой воды и сухие, песчаные почвы, однако плохо переносит тяжелые почвы. Зимостойкость высокая.;1м;Неприхотлива;Солнце;зона 5В;Декоративный куст;0;1
        Ива пурпурная 3-4года;500;Кустарниквысотой до 4 метров, с округлой густой кроной, состоящей из очень большого количества маленьких листочков. Пурпурного цвета побеги очень тонкие и гибкие. Маленькие узкие тонко заостренны листочк. Сверху они окрашены в синевато-зеленый цвет, нижная часть листа - белая.  Цветет практически одновременно с распусканием листьев, а иногда и раньше. Растет очень быстро.;4м;Неприхотлива;Солнце;зона 5В;Декоративный куст;0;1
        Ива пурпурная Nana 4-5лет;600;Кустарник воронковидной или округлой формы, в высоту 0,5-1,5 м, ширину — 3 м. Листья серебристо-серые, сережки недекоративны. Зимостойкое растение,почвы предпочитает свежие или влажные, хорошо дренированные, плодородные, щелочные, плохо растет на тяжелых почвах. Требуется обрезка.;1м;Неприхотлива;Солнце;зона 5В;Декоративный куст;0;1
        Ива серебристая 2-3года;480;Дерево высотой 20—30 м, с широкоокруглой, нередко плакучей кроной, мощным стволом диаметром до 3 м, покрытым тёмно-серой корой. Молодые побеги оливково-зелёные или красно-бурые, на концах серебристо-пушистые. Более старые побеги голые, гибкие, неломкие, блестящие, желтовато-красно-бурых тонов . Нижние ветви часто склоняются до самой земли.;30м;Неприхотлива;Солнце;зона 5В;Высокое дерево;0;1
        Ива серебристая 3-4года;1000;Дерево высотой 20—30 м, с широкоокруглой, нередко плакучей кроной, мощным стволом диаметром до 3 м, покрытым тёмно-серой корой. Молодые побеги оливково-зелёные или красно-бурые, на концах серебристо-пушистые. Более старые побеги голые, гибкие, неломкие, блестящие, желтовато-красно-бурых тонов . Нижние ветви часто склоняются до самой земли.;30м;Неприхотлива;Солнце;зона 5В;Высокое дерево;0;1
        Ива тонколистная 3-4года;600;Кустарник с гибкими, тонкими, голыми ветвями оливково-кирпичного цвета. Листья линейные, длиной 4—7 см и шириной 0,4— 0,6 см, голые, снизу сизовато-зеленые. Морозостойка, дает высококачественный прут для плетения корзин.;2м;Неприхотлива;Солнце;зона 5В;Декоративный куст;0;1
        Ива шаровидная 2-3года;2500;Многоствольный кустарник до 7 метров высоой. Кона шаровидная, сформированная крепкими ветвями, смотрящими вверх. Кончики ветвей очень хрупки и от сильных порывов ветра могут ломаться. Для поддержания округлой формы кроны такого кустарника нужно регулярно удалять молодую поросль.;7м;Неприхотлива;Солнце;зона 5В;Декоративный куст;0;1
        Ива шертистая 2-4года;800;Карликовый кустарник с опадающими на зиму листьями, достигающий в высоту 1-1,5 м. Он имеет бело-опушенные молодые побеги и округлые серо-зеленые листья, покрытые густым светло-серым пушком, образует хороший покров в кустарниковых бордюрах или в садах в стиле дикой природы, а также на склонах.;2м;Неприхотлива;Солнце;зона 5В;Декоративный куст;1;1
        Карагана (акация) Pendula Pa  180;2500;Кустарник с плакучими, висящими побегами, часто на штамбе. Высота завитит от высоты прививки. Листья сложные, очередные светло- зеленого цвета. Цветы желтые.;2м;Неприхотлива;Солнце, полутень;зона 2;Декоративный куст;0;0
        Карагана (акация) Pendula Pa (6-8);3600;Кустарник с плакучими, висящими побегами, часто на штамбе. Высота завитит от высоты прививки. Листья сложные, очередные светло- зеленого цвета. Цветы желтые.;2м;Неприхотлива;Солнце, полутень;зона 2;Декоративный куст;0;0
        Карагана (акация) Walker 150-200;4350;Кустарник со стелющимися по земле побегами, у привитых форм крона зонтообразная. Высота зависит от прививки. Листья светло- зеленые, перистые. Цветки желтые. Переносит засоленные почвы и продолжительные засухи.;2м;Неприхотлива;Солнце, полутень;зона 2;Декоративный куст;0;0
        Карагана (акация) Walker Pa (6-8)  180-210 ;3950;Кустарник со стелющимися по земле побегами, у привитых форм крона зонтообразная. Высота зависит от прививки. Листья светло- зеленые, перистые. Цветки желтые. Переносит засоленные почвы и продолжительные засухи.;2м;Неприхотлива;Солнце, полутень;зона 2;Декоративный куст;0;0
        Каштан hippocastanum  130-150;2400;Дерево до 25 метров в высоту и 20 метров в ширину с широкой кроной. Ветви свисающие до земли. Листья пятипальчатые, темно- зеленые, осеню желто- коричневые. Цветки белые.;25м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
        Каштан hippocastanum Baumanii  40-60;1950;Высокое дерево с широкой кроной до 25 метров в высоту и 15 метров ширину. Листья пальчатые, темно-зеленые. Цветки белые, махровые. Нет плодов.;25м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
        Каштан hippocastanum Memmingeri  100-120;1950;Дерево с широкой кроной. Растет медленно. Листья белые или желтоватые, летом светло- зеленые. Цветки белые, собранные в пучки. Не требователен к почвам.;25м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
        Каштан hippocastanum Memmingeri  120-160;3150;Дерево с широкой кроной. Растет медленно. Листья белые или желтоватые, летом светло- зеленые. Цветки белые, собранные в пучки. Не требователен к почвам.;25м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
        Каштан hippocastanum Memmingeri  30-50;1950;Дерево с широкой кроной. Растет медленно. Листья белые или желтоватые, летом светло- зеленые. Цветки белые, собранные в пучки. Не требователен к почвам.;25м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
"        Клён ""Гиннала"" 2-3года";200;Крупный кустарник до 6 м высотой, с шатровидной кроной,с серой, гладкой корой, красноватыми или бурыми побегами. Листья трехлопастные, темно-зеленые, голые, блестящие, снизу с редкими волосками. Цветки желтоватые.;6м;Неприхотлива;Солнце, полутень;зона 4;Декоративный куст;0;0
"        Клён ""Гиннала"" 3-4года";300;Крупный кустарник до 6 м высотой, с шатровидной кроной,с серой, гладкой корой, красноватыми или бурыми побегами. Листья трехлопастные, темно-зеленые, голые, блестящие, снизу с редкими волосками. Цветки желтоватые.;6м;Неприхотлива;Солнце, полутень;зона 4;Декоративный куст;0;0
"        Клён ""Моно""";350;Высокое дерево до 15 метров в высоту. Крона округлая, густая. Листья темно-зеленые, осенью невообрзимых оттенков от желтого до пурпурно- красного. Растет медленно.;15м;Суглинистые;Солнце, полутень;зона 4;Высокое дерево;1;0
        Клён platanoides  130/180;1090;Высокое дерево до 30 метров с широкоокруглой кроной. Листья блестящие темно- зеленые, осенью желтые. Цветет до появления листьев зелено- желтыми медоносными цветками.;30м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
        Клён platanoides 130-180;1090;Высокое дерево до 30 метров с широкоокруглой кроной. Листья блестящие темно- зеленые, осенью желтые. Цветет до появления листьев зелено- желтыми медоносными цветками.;30м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
        Клён platanoides 60-80;780;Высокое дерево до 30 метров с широкоокруглой кроной. Листья блестящие темно- зеленые, осенью желтые. Цветет до появления листьев зелено- желтыми медоносными цветками.;30м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
        Клён platanoides Drummondii (4-6)  200-250;4650;Высокое дерево до 12 метров в высоту с широкой кроной и белоокаймленными листьями. Молодые листья розовые, позже с широкой кремовой каймой.;12м;Неприхотлива;Солнце, полутень;зона 5В;Высокое дерево;1;0
        Клён platanoides Drummondii 50-100;1960;Высокое дерево до 12 метров в высоту с широкой кроной и белоокаймленными листьями. Молодые листья розовые, позже с широкой кремовой каймой.;12м;Неприхотлива;Солнце, полутень;зона 5В;Высокое дерево;1;0
        Клён platanoides Faassen s Black (4-6) 200-250;6300;Крупное дерево до 25 метров в высоту, с широкой кроной. Листья матовые,коричнево- красные, позднее насыщенного красного цвета, сохраняют цвет в весь вегетативный период.;25м;Суглинистые;Солнце;зона 4;Высокое дерево;1;0
        Клён platanoides Faassen s Black 100-120;2100;Крупное дерево до 25 метров в высоту, с широкой кроной. Листья матовые,коричнево- красные, позднее насыщенного красного цвета, сохраняют цвет в весь вегетативный период.;25м;Суглинистые;Солнце;зона 4;Высокое дерево;1;0
        Клён platanoides Faassen s Black 60-80;1950;Крупное дерево до 25 метров в высоту, с широкой кроной. Листья матовые,коричнево- красные, позднее насыщенного красного цвета, сохраняют цвет в весь вегетативный период.;25м;Суглинистые;Солнце;зона 4;Высокое дерево;1;0
        Клён platanoides Faassen s Black 80-100;1950;Крупное дерево до 25 метров в высоту, с широкой кроной. Листья матовые,коричнево- красные, позднее насыщенного красного цвета, сохраняют цвет в весь вегетативный период.;25м;Суглинистые;Солнце;зона 4;Высокое дерево;1;0
        Клён platanoides Globosum Pa 100-130;2170;Дерево с округлой кроной до 6 метров в диаметре. Чаще на штамбе. Листья зеленые глянцевые, осенью желтые. Нетребователен к почве.;3м;Неприхотлива;Тень, полутень;зона 4;Декоративное дерево;1;0
        Клён platanoides Golden Globe Pa 120-150;2000;Дерево, обычно на штамбе. Крона округлая, регулярная до 4 метров  в диаметре. Листья молодые ярко желтые, позже оранжевые с красной пигментацией.;2м;Неприхотлива;Полутень;зона 4;Декоративное дерево;1;0
        Клён platanoides Golden Globe Pa 150-180;4350;Дерево, обычно на штамбе. Крона округлая, регулярная до 4 метров  в диаметре. Листья молодые ярко желтые, позже оранжевые с красной пигментацией.;2м;Неприхотлива;Полутень;зона 4;Декоративное дерево;1;0
        Клён platanoides Royal Red  (8-10);10100;Дерево среднего размера 6 метров в высоту и 5 метров в ширину с ширококоничной правильной формой. Быстрорастущее. Листья крупные, блестящие, ярко- красные. Цветки мелкие, желтые.;6м;Неприхотлива;Солнце;зона 4;Декоративное дерево;0;0
        Клён platanoides Royal Red  120-140;2640;Дерево среднего размера 6 метров в высоту и 5 метров в ширину с ширококоничной правильной формой. Быстрорастущее. Листья крупные, блестящие, ярко- красные. Цветки мелкие, желтые.;6м;Неприхотлива;Солнце;зона 4;Декоративное дерево;0;0
        Клён platanoides Royal Red  140-160;2850;Дерево среднего размера 6 метров в высоту и 5 метров в ширину с ширококоничной правильной формой. Быстрорастущее. Листья крупные, блестящие, ярко- красные. Цветки мелкие, желтые.;6м;Неприхотлива;Солнце;зона 4;Декоративное дерево;0;0
        Клён platanoides Royal Red  200-250;6300;Дерево среднего размера 6 метров в высоту и 5 метров в ширину с ширококоничной правильной формой. Быстрорастущее. Листья крупные, блестящие, ярко- красные. Цветки мелкие, желтые.;6м;Неприхотлива;Солнце;зона 4;Декоративное дерево;0;0
        Клён platanoides Royal Red  40-100;1950;Дерево среднего размера 6 метров в высоту и 5 метров в ширину с ширококоничной правильной формой. Быстрорастущее. Листья крупные, блестящие, ярко- красные. Цветки мелкие, желтые.;6м;Неприхотлива;Солнце;зона 4;Декоративное дерево;0;0
        Клён rubrum Red Sunset Pa 180-320;12000;Высокое дерево 10-15 метров высотой с конической кроной. Листья трехлопастные, летом темно- зеленые, глянцевые, осенью ярко- красные или оранжевые.;15м;Влажные,суглинистые;Солнце, полутень;зона 4;Высокое дерево;0;1
        Клён saccharinum Born's Gracious  110-180;2100;Высокое дерево 15 метров в высоту и 12 метров в диаметре. Кора молодых деревьев светло-серая, гладкая, с возрастом темнеет и покрывается длинными узкими трещиноватыми хлопьевидными чешуйками. Листья пальчатые, летом зеленые, с нижней стороны серебристо-белые, осенью желтые, оранжевые или винно-красные. Цветки плоские красноватые.;15м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
        Клён saccharinum Laciniatum Wieri  150-240;3150;Большое дерево с широкой кроной высотой до 20 метров и 15 метров в ширину. Листья пятилопастные, до 14 см в длинну, игольчатообразные, сверху светло- зеленые, блестящие, снизу серебристо- белые.;20м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
        Клён saccharinum Laciniatum Wieri  80-100;1950;Большое дерево с широкой кроной высотой до 20 метров и 15 метров в ширину. Листья пятилопастные, до 14 см в длинну, игольчатообразные, сверху светло- зеленые, блестящие, снизу серебристо- белые.;20м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
        Клён жёлтый  3-4года;400;Большое дерево, достигает в высоту 15 м. Крона округлая, ствол покрыт мягкой, шелушащейся корой желто-серого цвета. Молодые побеги красно-коричневого цвета с опушением, в старшем возрасте гладкие. Листья пяти-семи лопастные, округло-яйцевиднй формы. Листовая пластинка сверху голая, с нижней стороны сильно опушена желтыми волосками, край грубо зубчатый. Цветы мелкие, желтого цвета, собраны в кисти.;15м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
        Клён ясенелистный 0,5м.;50;Небольшое дерево с широкой кроной и необычными листьями. Достигает 5 метров в высоту и 4 метра в диаметре. Молодые листья розовые, позже бело- пестрые.;5м;Неприхотлива;Солнце, полутень;зона 5В;Декоративное дерево;0;0
        Клён ясенелистный 1-1,5м.;250;Небольшое дерево с широкой кроной и необычными листьями. Достигает 5 метров в высоту и 4 метра в диаметре. Молодые листья розовые, позже бело- пестрые.;5м;Неприхотлива;Солнце, полутень;зона 5В;Декоративное дерево;0;0
        Липа крупнолистная 0,5м;300;Крупное дерево до 35 метров в высоту и 25 метров в ширину, с широкой кроной. Боковые ветви поникшие. Быстрорастущее. Листья тускло- зеленые, серцевидные, осенью желтые.;35м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
        Липа крупнолистная 2,0-2,5м;1500;Крупное дерево до 35 метров в высоту и 25 метров в ширину, с широкой кроной. Боковые ветви поникшие. Быстрорастущее. Листья тускло- зеленые, серцевидные, осенью желтые.;35м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
        Липа крупнолистная 80-120см;250;Крупное дерево до 35 метров в высоту и 25 метров в ширину, с широкой кроной. Боковые ветви поникшие. Быстрорастущее. Листья тускло- зеленые, серцевидные, осенью желтые.;35м;Неприхотлива;Солнце, полутень;зона 4;Высокое дерево;0;0
        Ольха glutinosa imperialis Pa  160-220;3880;Высокое дерево до 10 метров в высоту с очень стройным, прямым стволом. Листья нежные, темно- зеленые, глубокоразрезанные. Предпочитает переувлажненные, заболоченные, влажные почвы. Плохо переносит засуху.;10м;Влажные;Солнце;зона 3;Высокое дерево;1;1
